id,BDL_10001,BDL_10002,BDL_10003,BDL_10004,BDL_10010,BDL_10011,BDL_10012
L2659,817.0,817.0,21.9,27.6,1.0,0.0,39.0
L2658,810.0,810.0,19.6,20.299999,1.0,0.0,39.0
L2657,761.0,761.0,22.799999,22.4,1.0,0.0,108.0
L2638,753.0,753.0,19.200001,21.700001,1.0,0.0,50.0
L2661,663.0,663.0,37.0,65.900002,1.0,1.0,108.0
L2660,620.0,620.0,26.200001,58.599998,1.0,1.0,39.0
L2662,611.0,611.0,32.299999,55.799999,1.0,1.0,108.0
L2376,1033.0,1033.0,19.6,22.1,1.0,0.0,123.0
L2607,946.0,946.0,17.299999,22.6,1.0,0.0,52.0
L2639,851.0,851.0,28.200001,37.700001,1.0,0.0,43.0
L2640,807.0,807.0,21.5,29.700001,1.0,0.0,43.0
L2454,930.0,930.0,32.900002,48.299999,1.0,1.0,90.0
L2453,820.0,820.0,29.799999,46.799999,1.0,1.0,90.0
L2642,729.0,729.0,37.900002,50.5,1.0,1.0,43.0
L2606,711.0,711.0,18.4,43.400002,1.0,1.0,52.0
L2611,755.0,755.0,17.299999,23.700001,1.0,0.0,27.0
L2608,723.0,723.0,20.200001,24.0,1.0,0.0,52.0
L2612,655.0,655.0,17.0,21.299999,1.0,0.0,27.0
L2613,739.0,739.0,19.799999,37.299999,1.0,1.0,27.0
L2542,1017.0,1017.0,14.2,27.799999,1.0,0.0,32.0
L2614,962.0,962.0,17.6,27.700001,1.0,0.0,32.0
L2656,896.0,896.0,14.0,17.1,1.0,0.0,57.0
L2666,840.0,840.0,16.200001,34.099998,1.0,1.0,57.0
L2599,836.0,836.0,17.299999,38.599998,1.0,1.0,39.0
L2672,808.0,808.0,18.1,39.099998,1.0,1.0,88.0
L2615,794.0,794.0,30.799999,56.0,1.0,1.0,32.0
L2257,981.0,981.0,29.299999,41.299999,1.0,0.0,42.0
L2309,957.0,957.0,25.700001,31.299999,1.0,0.0,62.0
L2616,824.0,824.0,21.0,26.5,1.0,0.0,48.0
L2618,775.0,775.0,25.1,29.799999,1.0,1.0,48.0
L2619,674.0,674.0,40.099998,60.0,1.0,1.0,48.0
L2228,1092.0,1092.0,20.4,26.5,1.0,0.0,42.0
L2318,1006.0,1006.0,21.0,37.900002,1.0,0.0,48.0
L2229,1002.0,1002.0,22.799999,26.9,1.0,0.0,42.0
L2331,967.0,967.0,21.4,27.700001,1.0,0.0,106.0
L2329,932.0,932.0,28.0,37.299999,1.0,0.0,116.0
L2621,889.0,889.0,24.5,27.0,1.0,0.0,54.0
L2338,1079.0,1079.0,29.299999,45.599998,1.0,1.0,106.0
L2230,1024.0,1024.0,39.799999,52.200001,1.0,1.0,42.0
L2339,1016.0,1016.0,30.200001,52.900002,1.0,1.0,106.0
L2320,957.0,957.0,28.5,48.0,1.0,1.0,48.0
L2668,921.0,921.0,25.9,47.599998,1.0,1.0,82.0
L2623,828.0,828.0,37.299999,54.700001,1.0,1.0,54.0
L2622,661.0,661.0,30.700001,49.900002,1.0,1.0,50.0
L2629,751.0,751.0,23.700001,30.9,1.0,0.0,36.0
L2627,694.0,694.0,38.0,75.300003,1.0,1.0,36.0
L2602,630.0,630.0,21.700001,30.200001,1.0,0.0,34.0
L2321,955.0,955.0,25.0,48.0,1.0,0.0,36.0
L2631,828.0,828.0,32.200001,35.900002,1.0,0.0,41.0
L2655,791.0,791.0,22.799999,34.900002,1.0,0.0,96.0
L2630,720.0,720.0,30.700001,39.5,1.0,0.0,41.0
L2632,667.0,667.0,42.799999,65.599998,1.0,1.0,41.0
L2583,754.0,754.0,24.4,28.200001,1.0,0.0,41.0
L2764,711.0,711.0,27.6,30.200001,1.0,0.0,47.0
L2767,600.0,600.0,26.299999,33.5,1.0,0.0,47.0
L2765,283.0,283.0,26.0,,1.0,0.0,47.0
L2763,229.0,229.0,22.700001,,1.0,0.0,47.0
L2766,177.0,177.0,25.5,,1.0,0.0,47.0
L2633,795.0,795.0,28.299999,42.900002,1.0,1.0,39.0
L2749,626.0,626.0,30.700001,48.900002,1.0,1.0,66.0
L2748,545.0,545.0,21.799999,36.900002,1.0,1.0,66.0
L2694,526.0,526.0,23.1,43.799999,1.0,1.0,34.0
L2693,483.0,483.0,22.6,42.700001,1.0,1.0,34.0
L2747,239.0,239.0,33.0,,1.0,1.0,66.0
L2306,1091.0,1091.0,17.200001,19.6,1.0,0.0,61.0
L2240,1065.0,1065.0,19.6,24.200001,1.0,0.0,38.0
L2305,1040.0,1040.0,16.0,19.1,1.0,0.0,61.0
L2241,941.0,941.0,17.0,22.6,1.0,0.0,38.0
L2858,316.0,316.0,21.700001,,1.0,0.0,130.0
L2635,848.0,848.0,21.200001,24.6,1.0,0.0,40.0
L2634,762.0,762.0,22.799999,23.299999,1.0,0.0,40.0
L2636,781.0,781.0,32.099998,53.700001,1.0,1.0,40.0
L2637,708.0,708.0,37.0,59.400002,1.0,1.0,36.0
L2752,717.0,717.0,23.799999,,1.0,0.0,52.0
L2750,651.0,651.0,22.1,22.700001,1.0,0.0,52.0
L2754,444.0,444.0,21.799999,22.299999,1.0,0.0,52.0
L2751,352.0,352.0,21.6,23.4,1.0,0.0,52.0
L2735,714.0,714.0,34.900002,55.0,1.0,1.0,69.0
L2744,651.0,651.0,27.5,36.900002,1.0,1.0,87.0
L2743,638.0,638.0,32.200001,35.299999,1.0,1.0,87.0
L2734,574.0,574.0,27.0,25.9,1.0,1.0,69.0
L2736,560.0,560.0,26.0,34.900002,1.0,1.0,69.0
L2742,176.0,176.0,19.0,,1.0,1.0,87.0
